chrom,gene_chr_start,gene_chr_end,gene_name,gene_standard_name
2,751356,757106,YBR275C,RIF1
2,757620,760043,YBR276C,PPS1
2,760215,760616,YBR277C,DPB3
2,762784,764697,YBR280C,SAF1
2,764970,767606,YBR281C,DUG2
2,768240,768680,YBR282W,MRPL27
2,768943,770415,YBR283C,SSH1
2,771239,773632,YBR284W,YBR284W
2,773922,774356,YBR285W,HAB1
2,774700,776313,YBR286W,APE3
2,778012,779463,YBR288C,APM3
2,779667,782384,YBR289W,SNF5
2,782591,783556,YBR290W,BSD2
2,783673,784572,YBR291C,CTP1
2,784702,785073,YBR292C,YBR292C
2,787006,788430,YBR293W,VBA2
2,789235,791814,YBR294W,SUL1
2,792849,796499,YBR295W,PCA1
3,1392,2135,YCL076W,YCL075W
3,13751,14119,YCL065W,HMLALPHA1
3,17290,18561,YCL063W,VAC17
3,22429,23379,YCL059C,KRR1
3,24768,26906,YCL057W,PRD1
3,27929,28936,YCL055W,KAR4
3,30910,30996,YCL054W-A,RDT1
3,31449,33974,YCL054W,SPB1
3,34143,35393,YCL052C,PBN1
3,35865,37616,YCL051W,LRE1
3,37836,38801,YCL050C,APA1
3,39786,40724,YCL049C,YCL049C
3,41488,41727,YCL048W-A,YCL048W-A
3,42165,43556,YCL048W,SPS22
3,43661,44437,YCL047C,POF1
3,44623,46905,YCL045C,EMC1
3,47111,48364,YCL044C,MGR1
3,48653,50221,YCL043C,PDI1
3,50133,50627,YCL041C,YCL042W
3,50584,50943,YCL042W,YCL042W
3,50838,52340,YCL040W,GLK1
3,52645,54882,YCL039W,GID7
3,54941,56527,YCL038C,ATG22
3,57374,58678,YCL037C,SRO9
3,59026,60726,YCL036W,GFD2
3,60841,61173,YCL035C,GRX1
3,61658,62722,YCL034W,LSB5
3,63441,64481,YCL032W,STE50
3,65934,68333,YCL030C,HIS4
3,68599,69921,YCL029C,BIK1
3,70150,71367,YCL028W,RNQ1
3,71803,73341,YCL027W,FUS1
3,73405,73986,YCL026C-B,HBN1
3,74704,75285,YCL026C-A,FRM2
3,76018,77919,YCL025C,AGP1
3,78949,79296,YCL023C,KCC4
3,79162,82275,YCL024W,KCC4
3,83620,83997,YCL021W-A,YCL021W-A
3,91324,92418,YCL018W,LEU2
3,92777,94270,YCL017C,NFS1
3,94621,95763,YCL016C,DCC1
3,96281,101191,YCL014W,BUD3
3,101317,101788,YCL012C,YCL012C
3,102075,103358,YCL011C,GBP2
3,103571,104350,YCL010C,SGF29
3,106974,107366,YCL007C,VMA9
3,111916,112482,YCL001W,RER1
3,115685,115999,YCR001W,YCR001W
3,117380,118348,YCR002C,CDC10
3,118620,119171,YCR003W,MRPL32
3,119575,120318,YCR004C,YCP4
3,122530,123003,YCR006C,YCR006C
3,126011,126730,YCR007C,DFP3
3,128470,130281,YCR008W,SAT4
3,132273,133124,YCR010C,ADY2
3,141217,142170,YCR015C,CTO1
3,144773,147634,YCR017C,CWH43
3,148238,148903,YCR018C,SRD1
3,151608,151862,YCR018C-A,YNCC0009C
3,152837,153928,YCR019W,MAK32
3,154012,154659,YCR020C,PET18
3,155320,155556,YCR020W-B,HTL1
3,156109,157107,YCR021C,HSP30
3,157421,157765,YCR022C,YCR022C
3,164111,166339,YCR026C,NPP1
3,167370,167999,YCR027C,RHB1
3,170886,172424,YCR028C,FEN2
3,172950,173440,YCR028C-A,RIM1
3,173826,176438,YCR030C,SYP1
3,177500,178220,YCR031C,RPS14A
3,179520,186023,YCR032W,BPH1
3,186489,190169,YCR033W,SNT1
3,190592,191635,YCR034W,ELO2
3,193297,194298,YCR036W,RBK1
3,194414,197185,YCR037C,PHO87
3,197621,199549,YCR038C,BUD5
3,199546,200178,YCR039C,MATALPHA2
3,200911,201243,YCR041W,YCR041W
3,201174,205397,YCR042C,TAF2
3,208135,209610,YCR045C,RRT12
3,211871,212317,YCR049C,ARE1
3,211929,213761,YCR048W,ARE1
3,214071,214739,YCR051W,YCR051W
3,214994,216445,YCR052W,RSC6
3,216697,218241,YCR053W,THR4
3,218376,220067,YCR054C,CTR86
3,220457,223228,YCR057C,PWP2
3,223454,224230,YCR059C,YIH1
3,224399,224734,YCR060W,TAH1
3,225563,227458,YCR061W,TVS1
3,228095,228505,YCR064C,BUD31
3,228318,228791,YCR063W,BUD31
3,229310,231004,YCR065W,HCM1
3,231500,232963,YCR066W,RAD18
3,233125,236322,YCR067C,SED4
3,237214,238776,YCR068W,ATG15
3,239055,240011,YCR069W,CPR4
3,240103,240543,YCR071C,IMG2
3,240805,242352,YCR072C,RSA4
3,242588,246583,YCR073C,SSK22
3,246963,247910,YCR073W-A,SOL2
3,248033,248815,YCR075C,ERS1
3,248975,249202,YCR075W-A,EGO2
3,249293,250045,YCR076C,FUB1
3,250238,252628,YCR077C,PAT1
3,252845,254173,YCR079W,PTC6
3,254371,258654,YCR081W,SRB8
3,260311,262452,YCR084C,TUP1
3,262916,263269,YCR085W,YCR085W
3,263392,263964,YCR086W,CSM1
3,267434,272263,YCR089W,FIG2
3,274404,276566,YCR091W,KIN82
3,280117,286443,YCR093W,CDC39
3,286762,287937,YCR094W,CDC50
3,288170,289258,YCR095C,OCA4
3,289639,289797,YCR095W-A,YCR095W-A
3,293179,293538,YCR096C,HMRA2
4,18959,19312,YDL242W,YDL242W
4,20635,21006,YDL241W,YDL241W
4,22823,25876,YDL240W,LRG1
4,26403,28775,YDL239C,ADY3
4,28985,30454,YDL238C,GUD1
4,30657,31829,YDL237W,AIM6
4,32296,33234,YDL236W,PHO13
4,33415,33918,YDL235C,YPD1
4,34237,36477,YDL234C,GYP7
4,36797,38173,YDL233W,MFG1
4,38867,42244,YDL231C,BRE4
4,42700,43707,YDL230W,PTP1
4,44065,45906,YDL229W,SSB1
4,45277,45918,YDL228C,SSB1
4,51115,52173,YDL226C,GCS1
4,52445,54100,YDL225W,SHS1
4,54397,56346,YDL224C,WHI4
4,57265,60405,YDL223C,HBT1
4,62011,62562,YDL221W,FMP45
4,62244,65018,YDL220C,CDC13
4,65242,65765,YDL219W,DTD1
4,66493,67446,YDL218W,YDL218W
4,67983,68606,YDL217C,TIM22
4,68997,70319,YDL216C,RRI1
4,70640,73918,YDL215C,GDH2
4,74446,76545,YDL214C,PRR2
4,77289,77966,YDL213C,NOP6
4,78426,79058,YDL212W,SHR3
4,79294,80412,YDL211C,YDL211C
4,84270,85985,YDL210W,UGA4
4,86207,87226,YDL209C,CWC2
4,87512,87982,YDL208W,NHP2
4,88248,89864,YDL207W,GLE1
4,90176,92464,YDL206W,YCX1
4,92762,93745,YDL205C,HEM3
4,94605,95786,YDL204W,RTN2
4,96082,97953,YDL203C,ACK1
4,98475,99224,YDL202W,MRPL11
4,99561,100421,YDL201W,TRM8
4,100501,101067,YDL200C,MGT1
4,101290,103353,YDL199C,YDL199C
4,103649,104551,YDL198C,GGC1
4,104917,106494,YDL197C,ASF2
4,106741,107070,YDL196W,ASF2
4,107208,111029,YDL195W,SEC31
4,111580,114234,YDL194W,SNF3
4,114672,115799,YDL193W,NUS1
4,116321,116866,YDL192W,ARF1
4,117664,118517,YDL191W,RPL35A
4,118707,121592,YDL190C,UFD2
4,122078,123589,YDL189W,RBS1
4,123865,124998,YDL188C,PPH22
4,125509,125838,YDL187C,YDL186W
4,126787,130002,YDL185W,VMA1
4,130407,130484,YDL184C,RPL41A
4,130871,131833,YDL183C,MRX19
4,133437,134723,YDL182W,LYS20
4,135179,135436,YDL181W,INH1
4,135896,137539,YDL180W,AIT1
4,138291,139205,YDL179W,PCL9
4,139522,141114,YDL178W,DLD2
4,141209,141721,YDL177C,YDL177C
4,142097,144223,YDL176W,GID12
4,144484,145518,YDL175C,AIR2
4,145826,147589,YDL174C,DLD1
4,148191,149078,YDL173W,PAR32
4,149203,155640,YDL171C,GLT1
4,156318,157904,YDL170W,UGA3
4,158064,158735,YDL169C,UGX2
4,159604,160764,YDL168W,SFA1
4,160995,163154,YDL167C,NRP1
4,163449,164042,YDL166C,FAP7
4,164290,164865,YDL165W,CDC36
4,164987,167254,YDL164C,CDC9
4,166956,167258,YDL163W,CDC9
4,167714,169078,YDL161W,ENT1
4,170410,171930,YDL160C,DHH1
4,172182,172313,YDL159W-A,YDL159W-A
4,172481,174028,YDL159W,STE7
4,173866,174174,YDL158C,DMO2
4,174232,174588,YDL157C,DMO2
4,174918,176486,YDL156W,CMR1
4,176773,178056,YDL155W,CLB3
4,178334,181039,YDL154W,MSH5
4,181186,183018,YDL153C,SAS10
4,183318,183899,YDL151C,RPC53
4,183343,184611,YDL150W,RPC53
4,184925,187918,YDL149W,ATG9
4,188154,190586,YDL148C,NOP14
4,190924,192261,YDL147W,RPN5
4,192750,194225,YDL146W,LDB17
4,194571,198176,YDL145C,COP1
4,198662,199732,YDL144C,YDL144C
4,199996,201582,YDL143W,CCT4
4,201719,202570,YDL142C,CRD1
4,203039,205111,YDL141W,BPL1
4,205360,210561,YDL140C,RPO21
4,211375,212046,YDL139C,SCM3
4,213351,215642,YDL138W,RGT2
4,216158,217074,YDL137W,ARF2
4,217600,218367,YDL136W,RPL35B
4,218680,219288,YDL135C,RDI1
4,219662,220771,YDL134C,PPH21
4,221724,221801,YDL133C-A,RPL41B
4,222427,223740,YDL133W,SRF1
4,224304,226751,YDL132W,CDC53
4,227393,228715,YDL131W,LYS21
4,229171,229431,YDL130W-A,STF1
4,229906,230527,YDL130W,RPP1B
4,231024,231899,YDL129W,YDL129W
4,232652,233887,YDL128W,VCX1
4,234927,235853,YDL127W,PCL2
4,236157,238664,YDL126C,CDC48
4,239019,239606,YDL125C,HNT1
4,240259,241197,YDL124W,YDL124W
4,241418,241840,YDL123W,SNA4
4,242552,244981,YDL122W,UBP1
4,245923,246447,YDL120W,YFH1
4,246689,247612,YDL119C,HEM25
4,247302,247682,YDL118W,HEM25
4,248581,251238,YDL117W,CYK3
4,251566,253746,YDL116W,NUP84
4,253995,255126,YDL115C,IWR1
4,255604,256530,YDL114W,YDL114W
4,256633,258555,YDL113C,ATG20
4,258915,263225,YDL112W,TRM3
4,263313,264110,YDL111C,RRP42
4,264512,264964,YDL110C,TMA17
4,265258,267201,YDL109C,YDL109C
4,267698,268699,YDL108W,KIN28
4,268921,269976,YDL107W,MSS2
4,270222,271901,YDL106C,PHO2
4,272389,273597,YDL105W,NSE4
4,273653,274876,YDL104C,QRI7
4,275148,276581,YDL103C,QRI1
4,276872,280165,YDL102W,POL3
4,280307,281848,YDL101C,DUN1
4,282112,283176,YDL100C,GET3
4,283419,284444,YDL099W,BUG1
4,284581,285165,YDL098C,SNU23
4,285391,286695,YDL097C,RPN6
4,286998,287324,YDL096C,RPN6
4,287059,289512,YDL095W,PMT1
4,289572,290081,YDL094C,PMT5
4,289909,292140,YDL093W,PMT5
4,292781,293221,YDL092W,SRP14
4,293392,294759,YDL091C,UBX3
4,295034,296329,YDL090C,RAM1
4,296820,298274,YDL089W,NUR1
4,298417,300003,YDL088C,ASM4
4,300214,300999,YDL087C,LUC7
